Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Thursday 09 August,10:00 ➜ 09:45,23h45, 2 changes,€99.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,10:07 ➜ 16:34,6h27, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,10:59 ➜ 19:31,8h32, 1 change,€135.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,12:15 ➜ 08:25,20h10, 0 changes,€98.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,13:00 ➜ 06:15,17h15, 1 change,€69.98
Outbound: Paris ➜ Barcelona,Thursday 09 August,13:00 ➜ 10:15,21h15, 1 change,€85.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,14:07 ➜ 20:34,6h27, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,14:30 ➜ 05:45,15h15, 0 changes,€80.00
Outbound: Paris ➜ Barcelona,Thursday 09 August,15:20 ➜ 07:55,16h35, 1 change,€83.98
Outbound: Paris ➜ Barcelona,Thursday 09 August,16:00 ➜ 08:10,16h10, 1 change,€103.99
Outbound: Paris ➜ Barcelona,Thursday 09 August,16:07 ➜ 22:44,6h37, 0 changes,€119.00
Outbound: Paris ➜ Barcelona,Friday 10 August,07:15 ➜ 13:34,6h19, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Friday 10 August,07:15 ➜ 19:31,12h16, 1 change,€128.99
Outbound: Paris ➜ Barcelona,Friday 10 August,10:07 ➜ 16:34,6h27, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Friday 10 August,10:59 ➜ 19:31,8h32, 1 change,€167.00
Outbound: Paris ➜ Barcelona,Friday 10 August,13:00 ➜ 06:15,17h15, 1 change,€84.98
Outbound: Paris ➜ Barcelona,Friday 10 August,14:07 ➜ 20:34,6h27, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Friday 10 August,14:30 ➜ 05:45,15h15, 0 changes,€90.00
Outbound: Paris ➜ Barcelona,Friday 10 August,15:20 ➜ 07:55,16h35, 1 change,€87.98
Outbound: Paris ➜ Barcelona,Friday 10 August,16:07 ➜ 22:44,6h37, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,07:15 ➜ 13:34,6h19, 0 changes,€239.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,07:15 ➜ 19:31,12h16, 1 change,€138.99
Outbound: Paris ➜ Barcelona,Saturday 11 August,08:00 ➜ 02:40,18h40, 1 change,€94.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,08:00 ➜ 02:40,18h40, 1 change,€164.99
Outbound: Paris ➜ Barcelona,Saturday 11 August,09:00 ➜ 09:45,24h45, 1 change,€117.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,10:00 ➜ 05:35,19h35, 1 change,€64.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,10:00 ➜ 09:45,23h45, 1 change,€82.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,10:07 ➜ 16:34,6h27, 0 changes,€239.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,10:45 ➜ 06:15,19h30, 1 change,€94.98
Outbound: Paris ➜ Barcelona,Saturday 11 August,10:59 ➜ 19:31,8h32, 1 change,€171.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,12:15 ➜ 08:25,20h10, 0 changes,€88.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,12:30 ➜ 10:15,21h45, 1 change,€95.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,14:00 ➜ 10:15,20h15, 1 change,€88.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,14:07 ➜ 20:34,6h27, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,14:30 ➜ 05:25,14h55, 0 changes,€80.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,15:20 ➜ 07:55,16h35, 1 change,€87.98
Outbound: Paris ➜ Barcelona,Saturday 11 August,16:00 ➜ 08:10,16h10, 1 change,€97.99
Outbound: Paris ➜ Barcelona,Saturday 11 August,16:00 ➜ 23:20,31h20, 2 changes,€112.00
Outbound: Paris ➜ Barcelona,Saturday 11 August,16:07 ➜ 22:44,6h37, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Sunday 12 August,07:15 ➜ 13:34,6h19, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Sunday 12 August,07:15 ➜ 19:31,12h16, 1 change,€118.99
Outbound: Paris ➜ Barcelona,Sunday 12 August,10:07 ➜ 16:34,6h27, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Sunday 12 August,10:59 ➜ 19:31,8h32, 1 change,€151.00
Outbound: Paris ➜ Barcelona,Sunday 12 August,13:00 ➜ 05:45,16h45, 1 change,€84.00
Outbound: Paris ➜ Barcelona,Sunday 12 August,13:15 ➜ 06:15,17h00, 1 change,€94.98
Outbound: Paris ➜ Barcelona,Sunday 12 August,14:00 ➜ 02:05,36h05, 2 changes,€140.00
Outbound: Paris ➜ Barcelona,Sunday 12 August,14:07 ➜ 20:34,6h27, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Monday 13 August,07:00 ➜ 03:00,20h00, 1 change,€78.00
Outbound: Paris ➜ Barcelona,Monday 13 August,07:15 ➜ 13:34,6h19, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Monday 13 August,07:15 ➜ 19:31,12h16, 1 change,€119.99
Outbound: Paris ➜ Barcelona,Monday 13 August,08:00 ➜ 02:40,18h40, 1 change,€94.00
Outbound: Paris ➜ Barcelona,Monday 13 August,09:00 ➜ 09:45,24h45, 1 change,€112.00
Outbound: Paris ➜ Barcelona,Monday 13 August,10:00 ➜ 03:00,17h00, 1 change,€69.00
Outbound: Paris ➜ Barcelona,Monday 13 August,10:00 ➜ 09:45,23h45, 2 changes,€93.20
Outbound: Paris ➜ Barcelona,Monday 13 August,10:07 ➜ 16:34,6h27, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Monday 13 August,10:59 ➜ 19:31,8h32, 1 change,€156.00
Outbound: Paris ➜ Barcelona,Monday 13 August,12:15 ➜ 08:25,20h10, 0 changes,€88.00
Outbound: Paris ➜ Barcelona,Monday 13 August,12:30 ➜ 10:15,21h45, 1 change,€93.00
Outbound: Paris ➜ Barcelona,Monday 13 August,13:00 ➜ 06:15,17h15, 1 change,€69.98
Outbound: Paris ➜ Barcelona,Monday 13 August,13:00 ➜ 10:15,21h15, 1 change,€85.00
Outbound: Paris ➜ Barcelona,Monday 13 August,14:07 ➜ 20:34,6h27, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Monday 13 August,14:30 ➜ 05:45,15h15, 0 changes,€70.00
Outbound: Paris ➜ Barcelona,Monday 13 August,15:20 ➜ 07:55,16h35, 1 change,€69.98
Outbound: Paris ➜ Barcelona,Monday 13 August,16:00 ➜ 08:10,16h10, 1 change,€73.99
Outbound: Paris ➜ Barcelona,Monday 13 August,16:07 ➜ 22:44,6h37, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,07:15 ➜ 13:34,6h19, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,07:15 ➜ 19:31,12h16, 1 change,€113.99
Outbound: Paris ➜ Barcelona,Tuesday 14 August,09:00 ➜ 09:45,24h45, 1 change,€83.40
Outbound: Paris ➜ Barcelona,Tuesday 14 August,10:07 ➜ 16:34,6h27, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,10:59 ➜ 19:31,8h32, 1 change,€125.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,13:00 ➜ 06:15,17h15, 1 change,€79.98
